"id","YCoordinate","XCoordinate","elevation","slope","aspect","region","country","geometry","area","map_class"
285,12.5625877866093,104.723380270379,12,0.000615259895627061,2.02747483830447,"Kâmpóng Thum","Cambodia","points",1,1
180,12.6792491710279,104.534824259483,11,0.000580778810624068,5.48880215401966,"Kâmpóng Thum","Cambodia","points",1,1
106,12.8626712405369,104.273028765486,10,0.000542621632935616,6.28318530717959,"Kâmpóng Thum","Cambodia","points",1,1
229,12.5798873798646,105.50543291943,74,0.0124620172618383,0.327061681537688,"Kâmpóng Thum","Cambodia","points",1,1
234,12.8728265057824,104.473917017692,10,0.000436286104083334,1.25462259884241,"Kâmpóng Thum","Cambodia","points",1,1
372,12.8411229011258,105.339978226585,85,0.00196782042419112,3.73820867999936,"Kâmpóng Thum","Cambodia","points",1,1
303,12.6060101481528,105.405496053741,69,0.00470869522418529,5.06538657801892,"Kâmpóng Thum","Cambodia","points",1,1
249,13.1075932221143,105.556489272157,108,0.00813936500889144,3.88920608568094,"Kâmpóng Thum","Cambodia","points",1,1
57,12.6152490791715,105.395290384717,69,0.00429750101221001,3.4686938867118,"Kâmpóng Thum","Cambodia","points",1,1
77,12.7459263375342,105.496824413235,80,0.0107070947609691,1.45652507173946,"Kâmpóng Thum","Cambodia","points",1,1
59,12.951899578161,105.400608557109,107,0.00232877817049579,5.57151411832863,"Kâmpóng Thum","Cambodia","points",1,1
391,12.8925742970169,105.459320946241,110,0.00598504548070961,2.6085943154411,"Kâmpóng Thum","Cambodia","points",1,1
81,12.8897079359426,104.914472587656,19,0.000959595775369647,0.144552357807487,"Kâmpóng Thum","Cambodia","points",1,1
114,13.1888039433708,104.839710573566,91,0.0118057828281672,4.43300728476359,"Kâmpóng Thum","Cambodia","points",1,1
344,13.1129044674442,104.7018357484,39,0.00285211384621219,3.09306421626218,"Kâmpóng Thum","Cambodia","points",1,1
21,12.6125215864555,105.138307643697,16,0.000615356485253398,4.25578758743554,"Kâmpóng Thum","Cambodia","points",1,1
338,12.596022796782,105.484105198592,58,0.00665028699728278,1.05921683427284,"Kâmpóng Thum","Cambodia","points",1,1
240,13.1926649542526,104.706722817067,66,0.00926020766833474,2.70983040854292,"Kâmpóng Thum","Cambodia","points",1,1
324,12.5408537356629,105.488788360561,80,0.00428208713699968,5.39857493809964,"Kâmpóng Thum","Cambodia","points",1,1
30,13.0302961430397,104.855215003158,29,0.00103628102594386,2.72964265158604,"Kâmpóng Thum","Cambodia","points",1,1
123,12.9062587732918,104.922671090672,19,0.0009839937589962,3.73833225591626,"Kâmpóng Thum","Cambodia","points",1,1
320,13.012157287114,104.957589851363,34,0.00271564172891154,4.30128030081216,"Kâmpóng Thum","Cambodia","points",1,1
63,12.5748038609257,105.466390167575,74,0.00571181215996618,3.73105400481132,"Kâmpóng Thum","Cambodia","points",1,1
327,13.264127123815,105.344157138591,62,0.00238839581426946,4.54116067830273,"Kâmpóng Thum","Cambodia","points",1,1
401,12.7590951093642,104.840354048967,12,0.000276321332199014,4.71238898038469,"Kâmpóng Thum","Cambodia","points",1,2
247,12.6041345133989,104.916962223849,11,0,1.5707963267949,"Kâmpóng Thum","Cambodia","points",1,2
164,13.1645035903232,104.674183040693,49,0.00517141518148704,3.38481413759212,"Kâmpóng Thum","Cambodia","points",1,2
176,13.1705911638689,105.370971085699,63,0.00932019680210782,4.8144480813976,"Kâmpóng Thum","Cambodia","points",1,2
17,12.7109960640814,105.262064168152,41,0.00212966139931805,3.93604132835527,"Kâmpóng Thum","Cambodia","points",1,2
304,12.7671563842628,105.136180056686,37,0.00175690344195654,5.37820581461368,"Kâmpóng Thum","Cambodia","points",1,2
56,12.9527737927325,105.472522759632,82,0.00499090896467846,1.32366597592411,"Kâmpóng Thum","Cambodia","points",1,2
374,12.2669541515923,105.190905948202,39,0.0122486285649122,3.31127047931417,"Kâmpóng Thum","Cambodia","points",1,2
175,12.5987239291693,105.694572175266,97,0.00846572131962993,4.33494550521363,"Kâmpóng Thum","Cambodia","points",1,2
120,12.3990230067462,105.123014244574,13,0.00140605834144328,4.51821273543358,"Kâmpóng Thum","Cambodia","points",1,2
